,Unnamed: 0,artistName,averageUserRatingForCurrentVersion,contentAdvisoryRating,currency,description,fileSizeBytes,formattedPrice,languageCodesISO2A,primaryGenreName,sellerName,trackCensoredName,userRatingCount
0,40,LabStyle Innovation Ltd,4.89229,12+,USD,"Wouldn't it be great if managing diabetes was easier? With the Dario Blood Glucose Monitoring System, it is. Say goodbye to bulky meters, finger-prick devices and annoying diabetic logbooks. Dario’s innovative meter puts everything at your fingertips by connecting directly to your iPhone. Plug in the Dario meter, apply one drop of blood to the test strip, and get your results to your online logbook in 6 seconds. 
 
SMART & SMALL
 The all-in-one Dario Blood Glucose Monitoring System combines the meter, lancet and test strips in a unit so small it can fit in your pocket. This makes it easy to keep with you, whether at home or on-the-go. With Dario, checking your blood glucose is quick, easy and discreet, one drop at a time. 
 
NEW! BLOOD PRESSURE MONITOR
Dario is more than just a diabetes tracker. As many people with diabetes also have hypertension, including up to 80% of people with type 2 diabetes, Dario also pairs with another health device: the Dario Blood Pressure Monitoring System. Record and store blood pressure measurements in the same logbook where you record sugar levels for a more complete perspective of your health. Monitor these two medical conditions together for better condition control and share with your doctor. Develop healthier habits and to live better every day with Dario.
 
THE DARIO DIFFERENCE
Dario makes it easy to see your medical trends and build better health habits according to your results. With insights gained through the Dario app, you may learn which foods and activities lead to better results. You can see how following a treatment plan improves your blood pressure results. Getting this positive reinforcement in real time is a powerful motivator! One drop is all it takes to see where you stand with this innovative diabetes tracker.
 
SIMPLE SHARING
Keep your healthcare providers and family members up to date on your diabetes measurements. One click and you can share all the health data and logbooks in the Dario app with anyone you like. 
 
COUNT CARBS & TRACK ACTIVITY
Keeping count of carbohydrate intake can be a challenge, but Dario does the math for you! Simply tag which foods you ate, and Dario will automatically calculate your carbs. With time, you may even start spotting patterns between the foods you’ve eaten and your sugar results and learn how to choose foods that your body responds to better. The same goes for activity. With Dario, you can keep a record of your daily exercise (even washing the dishes!) and see if your habits influence your glucose levels. And Dario integrates with the Apple HeatlhKit, so your exercise, nutrition, and health data is recorded in one easy to access location. The results of this diabetes tracker may surprise you!
 
DARIO ACCURACY
Dario has been tested extensively to ensure it meets FDA guidance for accuracy, that 95% of measurements are within ±15% of a true lab-tested value. This means you can be assured that the Dario meter will provide results you can trust. Dario has also presented numerous scientific studies to the ADA, demonstrating how its system helps improve life for people with diabetes.
 
HYPO ALERT SYSTEM WITH GPS LOCATOR
Dario can be a lifesaver because when a hypo strikes, time is of the essence! Dario's hypo alert system with GPS location can help bring you peace of mind. Simply connect the Dario meter to your smartphone, and upon recording a dangerously low glucose reading, the Dario app will send a prepared text message with the current blood sugar reading and GPS location, to up to 4 emergency contacts.

The information provided is not intended to be used for medical diagnosis or treatment or as a substitute for professional medical advice. Please consult your physician or qualified health provider regarding your condition and appropriate medical treatment. Individual symptoms, situations and circumstances may vary.",192622592,Free,"AR,MY,KM,CS,DA,NL,EN,ET,FI,FR,DE,HE,HI,ID,IT,JA,KO,LO,MS,NB,PL,PT,RU,ZH,ES,SV,TH,ZH,UK,VI",Medical,LabStyle Innovation Ltd,Dario Health,16442.0
1,1,"Sugarmate, LLC",4.8209599999999995,4+,USD,"Sugarmate is a companion app for users of the Dexcom G4/G5/G6 continuous glucose monitoring system. It works great for both the CGM wearer or follower.

Why use Sugarmate with your CGM?

Peace of Mind
- Automatically text message family and friends (with GPS coordinates) when glucose levels get urgently low (Disclaimer: Continued use of GPS running in the background can dramatically decrease battery life)
- Receive a phone call when glucose levels go below normal while you're sleeping (even when your phone is in Do Not Disturb mode)
- Steady Above Normal, Predictive High, and Predictive Low notifications with customizable alert sounds

Motivation
- Over 30 customizable tiles, including a mini-graph and other stats such as time in range, GMI (& est. A1c), bedtime/wake averages, unicorn counts, % in range/low/high, total insulin, total carbs, and many more
- Daily stats
- Generate and email spreadsheet reports with graphs, stats and all readings, activity and notes

Readings Everywhere
- Display readings continuously on your watch, or even in your car (using Sugarmate's calendar functionality)
- Real-time syncing across all of your devices, including the Sugarmate Mac and web apps
- Today Widget with real time stats and graphs for your lockscreen
- Siri Shortcuts: just say ""what's my sugar"", ""add insulin"", ""lookup food"" and more

Advanced Tracking
- Built-in nutritional food lookup, with voice recognition, food imagery, and barcode scanning
- An infinitely scrolling history of all of your sugar levels and activity. Pinch to zoom, or rotate your phone to enlarge
- Apple Health: two-way syncing, plus automatically creates walk/jog/run events based on your steps
- Offline saving so you can still log while out of service

And more
- Easy setup: follow the instructions to add Sugarmate as a Follower (using only one Follow slot for everyone)
- Themes: make the app more personal by picking your own color scheme
- Multi-user support: manage 2+ people's sugar levels on one phone or Apple Watch

The data displayed in this app is for informational purposes and should not be used to make medical decisions of any kind. Please see our Terms of Use on our website for more details.

The Sugarmate Platform is not intended to modify data received from the continuous glucose monitor system. Nor is it intended to instruct, or to transmit information to the continuous glucose monitor system.

The Sugarmate Platform is not intended to serve as a replacement for a primary display device for a continuous glucose monitoring system.

Dosing decisions should not be made based on this device. The user should follow instructions on the continuous glucose monitoring system. This device is not intended to replace self-monitoring practices as advised by a physician.

This application is not owned by or affiliated with Dexcom.

This application is not owned by or affiliated with the Nightscout Project.",145726464,Free,"NL,EN,FR,IT,PT",Medical,"Sugarmate, LLC",Sugarmate,7680.0
2,47,"Atkins Nutritionals, Inc.",4.77051,17+,USD,"Atkins® Carb Counter & Meal Tracker is an essential tool to achieving your weight loss goals. The new & redesigned Atkins app allows you to maintain a healthy lifestyle by giving you the diet tools to set daily goals, log meals, & track net carbs.

TRACK YOUR WEIGHT LOSS PROGRESS
The former Carb Counter & Diet Tracker by Atkins is being replaced by the new and redesigned Atkins Carb Counter & Meal Tracker App.

It all starts by answering a few questions about your physical and nutritional goals to help you maintain a healthy diet, enabling you to track your carb intake to hit your goals.

Get started with a personalized Atkins plan based on a simple assessment 
Log meals throughout the day and track carbs 
Learn about Atkins acceptable foods to add to any meal plan
Identify your dietary exclusion to make sure your recipes reflect your lifestyle
Search for specific foods or scan barcodes of food products to discover their carb counts
Shop for Atkins approved products and meals 
Track your weight loss goals against your current progress
Track your daily activity to help you stay on track with your weight loss goals 

TOOLS TO TRACK CARBS & MEALS
Whether you’re grabbing a protein shake, preparing a steak salad for dinner, or don’t know what to eat, Atkins can help with your low carb lifestyle. The App features tools to help you count your daily carbs and resources to help you stay on track.
Find the Atkins net carb count of common foods by searching or simply scanning a packaged food label
Shop for Atkins approved products and meals 
Find acceptable food lists that will help you discover all the delicious foods acceptable in each diet program
Customize your dietary plan with our essential free tools and diet plans
Explore over 1,600 low carb recipes right on our app

WHAT ARE ATKINS NET CARBS? 
Atkins Net Carbs = Total Carbohydrates - Fiber - Sugar Alcohols/Glycerin (if applicable)

CONTACT ATKINS FOR SUPPORT
The Atkins weight loss app will motivate you to reach your weight loss goals. We make it easy for you to stay on track with tools and resources to count carbs, explore recipes, and set goals. Download now to see how our diet tracker works. 

We’re continuously improving our app! If you have any feedback, please contact us through Atkins Support.",118614016,Free,EN,Health & Fitness,"Atkins Nutritionals, Inc.",Atkins® Carb & Meal Tracker,70996.0
3,3,LifeScan Inc.,4.75481,17+,USD,"The OneTouch Reveal™ mobile app has helped over one million people take a step forward in their diabetes management. The OneTouch Reveal™ app can be used to manage type 1, type 2 and gestational diabetes.

The OneTouch Reveal™ app works seamlessly with the OneTouch Verio Reflect® meter and OneTouch Verio Flex® meter, using ColorSure® technology to change the way you see your blood sugar.

Helps you easily spot blood sugar patterns

- Transforms data into colorful snapshots that connect your blood sugar with food, insulin and activity.
- Draws a timeline of important blood sugar events and activities, highlighting when you have been repeatedly out of range.
- Receive automatic notifications on your smartphone when a high or low blood glucose pattern is detected.

Personalize your diabetes management tools

- Set personalized reminders to stay on top of patterns, meds, food, exercise—whatever you need to manage your diabetes.
- With the Blood Sugar Mentor™ feature, you get personalized guidance, insight, and encouragement to help you make adjustments to manage your blood sugar. (only available when using the OneTouch Verio Reflect® meter).
 
Set up and track personalized goals and visualize your progress over time.

- BG Tests: Test your blood sugar to identify patterns.
- Step Tracking: Monitor the number of steps you walk each day.
- Carb Tracking: Regularly log the carbohydrates you eat to see the correlation between your food intake and your blood sugar levels.
- Activity Tracking: Track the amount of exercise you are getting.
 
Easy-to-view diabetes logbook

- Automatically logs and organizes your blood glucose results.
- Identify high and low blood glucose results with the color-coded logbook.
- See how you’re doing at a glance, with a simple 14-, 30- and 90-day overview of your blood sugar results.
 
Other helpful blood glucose management features

- Share your progress with your care team between visits – you can email your personalized diabetes report.
- Connect with Apple® Health to share your health information.
- The A1c comparator on the OneTouch Reveal® mobile app lets you compare your lab A1c to the average of your blood sugar readings from the last 90 days.
- The integrated food library allows for quick access to your favorite foods.
 
Get OneTouch® products delivered to your home
- Sign up for one of our convenient subscriptions or just order products when you need them. 
 
One-on-one coaching at your fingertips
- Sign up for a coaching subscription to chat with one of our certified diabetes educators.  They are available to answer your questions, provide feedback, and offer encouragement when you need it most.  
 
Questions?
Or if you’d like to know more about the OneTouch Reveal™ mobile app, please call OneTouch® Customer Care at 
1-866-693-0599 or visit www.OneTouch.com
 
*Feature only available when using the OneTouch Verio Reflect® meter
The Bluetooth® word mark and logos are registered trademarks owned by Bluetooth SIG, Inc., and any use of such marks by LifeScan Scotland Ltd. and its affiliates is under license.
Compatible with iOS 13 or later. Depending on your iOS device and version, screenshots in Help File may not match what you see in your app.
iOS is a trademark of Apple Inc., registered in the US and other countries. App Store™ is a service mark of Apple Inc.",123582464,Free,"HR,CS,NL,EN,FR,DE,HU,IT,JA,PL,PT,SL,ES,VI",Medical,"LifeScan, Inc.",OneTouch Reveal,73555.0
4,14,Beyond Type 1,4.75389,12+,USD,"A community for those impacted by Type 1 Diabetes.

Together, we’re creating the largest collection of practical ideas, stories and resources for not only living with Type 1, but thriving with it.

Use the Beyond Type 1 app to:

+ Chat, message and build relationships with others impacted by Type 1 Diabetes
+ Share your story and find inspiration from members like you
+ Navigate topics surrounding Type 1 that don’t have easy or obvious answers

Members of Beyond Type 1 are connecting around topics like:

+ Being Newly Diagnosed
+ Troubleshooting Together 
+ Burnout
+ Devices and T1D Tech
+ Managing Stress & Support
+ Being Parents of Young Kids with Type 1

Learn more at community.beyondtype1.org",115263488,Free,EN,Health & Fitness,Beyond Type 1,Beyond Type 1 Diabetes,386.0
5,31,SingleCare,4.73325,12+,USD,"Paying for prescriptions shouldn’t be painful. Join the millions saving billions with SingleCare, the prescription savings card that saves you up to 80% at the pharmacy! 

Create a free account and get an extra $5 off your next eligible refill, plus earn additional bonus savings throughout the year.
 
Prescription drug prices are rising. Life-saving medications can cost thousands of dollars. If you can’t afford your medications (or simply want to save big on prescriptions), use the SingleCare app to get free coupons that work at all major pharmacies. Whether it’s insulin for diabetes or an asthma inhaler, you can find a free coupon using the SingleCare mobile app or on SingleCare.com.

SingleCare is a prescription savings card (aka a “coupon card”) that provides discounts on 10,000+ prescribed drugs for a sign-up price of $0. It’s always 100% free to use the card. Whether you’re insured, underinsured, or uninsured, you qualify for a reduced rate on prescriptions with SingleCare and our accurate drug pricing tool helps you find low prices on thousands of FDA-approved medications.

Stop overpaying for your prescriptions and start using our free Rx coupons at your local drugstore. 

Try SingleCare in 3 simple steps:
1. Search for your prescriptions on the free SingleCare app
2. Compare discounts at nearby pharmacies and get a free coupon card
3. Show your coupon card at the pharmacy counter to save up to 80% on your medication

Remember, you can always use the card again for your next refill!

SingleCare Features: 

$0 User Fee:
• With a prescription from a medical professional, you can get SingleCare prescription savings cards for free.
• All customers at participating pharmacies can use our prescription drug coupons
• It doesn’t matter if you’re a doctor, nurse, patient, pharmacist—if you take medication, we have coupons for you.
• There are no strict eligibility requirements or limited-time offers.

Loyalty Program:
• Sign up for our free loyalty program providing access to lower cost medication.
• Receive an extra $5 off your next eligible prescription fill when you join!

Easy Refills:
• Reuse coupon cards on every refill.
• Use the Drug Basket feature to save your prescription coupons for quick savings on future refills. Think of it as a virtual pillbox!

Prescription Discount Finder:
Enter your zip code on the app to find a participating pharmacy near you. We partner directly with thousands of major pharmacies nationwide, including:
• CVS
• CVS Pharmacy at Target
• Walmart
• Walgreens
• Kroger
• Albertsons
• Rite Aid
• Longs Drugs
• Sav-On Pharmacy
• Fry’s
• Harris Teeter
• Wegmans
• H-E-B
• Meijer

More ways to save:
1. Ask for a prescription - To use our coupons, a medical care professional must prescribe the medication. You can still save money on vitamins, natural health supplements, and over-the-counter medicine as long as you have a script for it!
2. Go generic - Generic meds are cheaper than brand names. Ask your healthcare provider if a generic version of your prescription is available.
3. Buy in bulk - Fewer refills = fewer copays. Fill a 90-day supply instead of a 30-day supply to save more in the long run.
4. Shop around - Enter the drug name and dosage on our app, and enter your zip code to compare costs at local pharmacies. If you don’t see your exact med on the app, you can still take our prescription drug discount card to the pharmacy and they can look up if there is a SingleCare offer available.

SingleCare has been featured on CNN, Wall Street Journal, Business Insider, Healthline, Yahoo! Finance and Bustle. Start saving on your prescriptions today!

By downloading SingleCare, you agree to be bound by our Terms and Conditions found at https://www.singlecare.com/terms-and-conditions.",45025280,Free,EN,Medical,SingleCare Services LLC,SingleCare - Rx Coupons,5661.0
6,4,SquareMed Software GmbH,4.69744,17+,USD,"With DiabetesConnect you have your diabetes under control at all times, regardless of where you are. Simply sign in and your documentation is a snap!

By diabetics - for diabetics.

Now you can record all your diabetes-related data fast and easy and create all your documentation with just a few clicks. Blood sugar, meals, insulin injections, medication and many more can be tracked with DiabetesConnect while all your data is always in your pocket. Everything you don't need can be turned off, so everything stays nice and neat.

Your values can be synced over multiple devices, handing you an up to date documentation - wherever you are. You can also access your data over our web portal and create your exports and statistics there.

Nice and clear graphics and statistics help to get a perfect overview of your current diabetes therapy.
For your next doctor's appointment, your values can be exported into a well-formed PDF-file.

Functions:
- Administer all your diabetes-data
- Suitable for Type1- and Type2-Diabetics
- Support for mg/dl and mmol/l
- Track your meals as bread units, carbohydrate units or carbohydrates
- Get important medical staticstics right in the app
- Synchronisation over multiple devices",66575360,Free,"EN,DE,ES",Medical,SquareMed Software GmbH,DiabetesConnect,195.0
7,27,mySugr GmbH,4.650869999999999,4+,USD,"Get help with managing your diabetes, it's quick and easy!

Ranked the Top Diabetes App by Healthline 3 times. Featured in Forbes, TechCrunch, and The Washington Post.

Adding the mySugr Diabetes App to your daily routine with diabetes (Type 1, Type 2, or Gestational diabetes) will make your life easier. 

The mySugr diabetes app is your loyal and free diabetes logbook, which keeps your diabetes data under control. With one app you'll have:

• Easy and personalized dashboard (diet, meds, carb intake, blood glucose levels and more).
• Insulin/Bolus calculator with precise insulin dose recommendations (Limited to some countries using mySugr PRO).
• See clear blood sugar level graphs.
• Estimated HbA1c at a glance, no more surprises.
• Daily, weekly, and monthly reports, that you can share directly with your doctor.
• Secure data backup (built with regulatory compliance, quality, and safety).

Make diabetes suck less.

1. APP FEATURES
It auto-logs your data plus you can collect your daily therapy info such as meals, your diet and carb intakes. Also, medications you take, blood glucose levels and insulin levels.

2. INTEGRATIONS
• Steps, activity, blood pressure, CGM data, weight, and more.
• Accu-Chek® Aviva Connect; Accu-Chek® Performa Connect; Accu-Chek® Guide (activate mySugr PRO for no charge! Please see our FAQ on the website for the latest information).
• Apple Health®

3. PRO FEATURES
Take your diabetes therapy to the next level! mySugr PRO can be activated at no charge with some Accu-Chek® devices or with a monthly or yearly paid subscription.
• Smart search: build your own searchable database of places, meals, activity, tags, etc.
• Insulin Calculator (check available countries): calculate your insulin dose, corrections, and meal shots.
• PDF & Excel reports: save or print all your data for you or your doctor.
• Blood glucose reminders: you won't forget to check and log.
• Meal photos: snap your meals to improve your carb counting.
• Basal rates: for pump users.

Get it now! A clear logbook to monitor, control and manage your diabetes: all your medical information right on your smartphone and ready to be used! Stay on top of your health, monitor your carbs, manage your medicine intake with Bolus Calculator (mySugr PRO), get help avoiding hypers/hypos, and be in control of your diabetes therapy every day!

SUPPORT:
We are always working to make the mySugr Diabetes App better, and we need your feedback! Have a problem, criticism, question, suggestion, or praise? 

Get in touch at:
• mysugr.com
• support@mysugr.com

https://legal.mysugr.com/documents/GENERAL_TERMS_OF_SERVICE_US/current.html
https://legal.mysugr.com/documents/privacy_policy_us/current.html

Upgrading to mySugr PRO will charge your App Store account. Your subscription automatically renews unless canceled at least 24 hours prior to the end of the current period. The cancellation of the current active subscription period is not allowed. Your subscription and auto-renewal options can be managed in Account Settings in the App Store settings after purchase.",91116544,Free,"BG,CS,DA,NL,EN,ET,FI,FR,DE,EL,IT,LV,LT,NB,PL,PT,RO,RU,SK,SL,ES,SV,TR",Medical,mySugr GmbH,mySugr - Diabetes Tracker Log,9054.0
8,17,Taconic System LLC,4.633769999999999,12+,USD,"Glucose Monitor turns your device into a personal glucose and weight monitor. It comes with lifetime data visualization, statistics reporting, email import/export, built-in reminders and much more. It can also be upgraded to track your blood pressure, weight, BMI, cholesterol, and more. This is an app with a lot of features.

Comprehensive data collection - have you ever wanted to have a single app to track all of your health and medical readings? This app is designed for you. 

- Comprehensive reading input fields collection
- Customizable input data form
- Simplified user interface
- Optimized keyboard input

Medication correlation - have you ever wanted to find out how your vital signs change according to different medication you take? How your glucose changes at different meals? This app is designed to help you find out

- Both oral and injection types of medication tracking and correlation
- Meal type tracking and correlation for glucose measurement
- More to come. Let us know what you need to correlate!
- Left/right arm tracking and correlation for blood pressure measurement (upgrade needed)
- Body position tracking and correlation for blood pressure measurement (upgrade needed)

Data visualization – a chart is worth a thousand words. The graphical charts not only give you a visual trend of the vital signs, but also show warning signs (BP only after upgrade).

- All vital signs are graphically presented
- No time limitation
- Swipe to scroll chart to reveal more data history
- Optimized chart drawing performance

Data Sync - seamlessly automatic data synchronization among different iOS devices.

- Enter once, view on any devices (iOS only for now)
- Make the cloud work for you
- An active account is required (free to create)

Email Import/Export – simple yet versatile email/export feature lets you communicate with your healthcare provider at a breeze.

- Multiple export formats (PDF, CSV, plain message) to choose from
- Selectable From/To date range
- Selectable vital sign category to export
- It even can include charts in emails and PDF files
- Flexible format recognition during import
- Friendly import instructions and feedback messages

Lots of other bells and whistles
- Dual mode history reading views, express for quick browsing and grouped for complete revisiting
- Built-in reminder, never miss a check up time and seamless integration with iOS reminder app
- Flexible units support, US and metric
- Multiple user accommodation, one app to track the whole family (upgrade needed)

Note: this app does not drive any medical measurement device. All inputs have to be entered.",50356224,Free,"EN,FR,DE,JA,KO,ZH,ES",Medical,Taconic System LLC,Glucose Monitor,385.0
9,16,AnimalBrainz Inc,4.62941,4+,USD,"Diabetes Pro is a simple, powerful management tool for all diabetics. It differs from other apps in that it's designed to get your entries in as quickly as possible, with controls close to your thumbs. It's also packed with features to help with all areas of your diabetes, from inventory tracking to statistical analysis to tracking your testing locations.

FEATURES:
• Finger Tracker to help you rotate testing locations easily
• Inventory Tracker with low-supply alerts
• Customizable auto-alerts
• Integration with Apple's Health app for saving blood glucose entries
• Daily, weekly, and monthly averages
• Automatic syncing and backups to iCloud
• Controls that are close to the keyboard for fast, easy input
• Designed around keywords to help you identify trends and properly dose for future foods and events

If you have any questions or feedback, please tap Support/Suggestions in the app or email us at diabetespro-support@intelliviv.com.",48822272,Free,EN,Health & Fitness,Will Lakow,Diabetes Pro,170.0
